"filename", "language", "JSON", "Markdown", "mcfunction", "comment", "blank", "total"
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\swapslot_offhand.mcfunction", "mcfunction", 0, 0, 7, 0, 3, 10
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\use.mcfunction", "mcfunction", 0, 0, 7, 0, 3, 10
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\item_modifiers\dev_stone\storage_to_wand.json", "JSON", 16, 0, 0, 0, 1, 17
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\item_modifiers\dev_stone\to_deactivated.json", "JSON", 6, 0, 0, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\item_modifiers\dev_stone\to_debug.json", "JSON", 6, 0, 0, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\item_modifiers\dev_stone\to_dev.json", "JSON", 6, 0, 0, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\item_modifiers\swap_wand_slot\first.json", "JSON", 6, 0, 0, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\item_modifiers\swap_wand_slot\second.json", "JSON", 6, 0, 0, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\item_modifiers\swap_wand_slot\third.json", "JSON", 6, 0, 0, 0, 1, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\loot_tables\blocks\magical_crafting_table.json", "JSON", 19, 0, 0, 0, 1, 20
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\loot_tables\blocks\magical_flower.json", "JSON", 19, 0, 0, 0, 1, 20
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\loot_tables\blocks\wand_crafter.json", "JSON", 22, 0, 0, 0, 1, 23
